text,labels
Opposition to #Huawei’s inclusion in #British #5G networks can only muster 36 votes against the govt. and it happened while #WuhanVirus is raging. Neither British nor most of the political establishment across the West is sleep walking through the unfolding #Chinese nightmares! https://t.co/CFTZF5qHC9,0
"2. Per the quarantined evacuee, this area is known at The Inn. It’s the designated medical area for quarantined evacuees. Previously crews had been wearing only face masks, gloves, and eye protection. Again, still waiting for info from CDC. #nbc7 https://t.co/nl055muU6D",0
"I can't help but think that big business is using the current (Very real) pandemic as a cover.

For instance 5G helps automate the system, with office workers working from home, why have an office at all, when they could continue working from home?

#WorldIsChanging #StayAwake",1
"About time UK implemented mass testing for #coronavirus. Chances are it’s already spread here. Wash your hands, get Netflix, some supplies and... uh.. buy gilts 
https://t.co/ljoqHdoFMd",0
"A Japanese govt official, responsible for arranging charter flights to bring stranded nationals from #Wuhan, committed suicide on Saturday morning, says @Sankei_news. Three evacuees from those flights were later tested positive for novel #WuhanCoronavirus. https://t.co/R1ZYbqfJkU",0
Here’s Rick Sanchez on RT (Russia Today) January 2019 laying some ground work for 5G health conspiracies &amp; even linking the brain tumor conspiracy as a 4G problem https://t.co/x2kTJHttZR,1
"Today's situation report on #COVID19 highlights:
-🇦🇫, 🇧🇭, 🇮🇶 &amp; 🇴🇲reported cases in the past 24 hours
-@WHO online course on healthcare facilities' preparedness: https://t.co/cO7TAxpmo5
-The WHO-China joint mission's findings
-WHO- @ECDC_EU mission in Italy
https://t.co/DHNWebEc9V",0
The way Americans are stocking up on toilet paper like it’s the apocalypse but still not buying fucking soap ahdhhddh https://t.co/Auproi3jMb,0
JUST IN: Coles have released a statement following the unprecedented demand for toilet paper. They have changed the limit to one pack per customer. #9News https://t.co/K12gwiFNJs,0
"What most of nightfall during a quarter blackout looks like, in time lapse. The blackedout portion is lower left obvs #NYCblackout https://t.co/sydTxouQPZ",0
"Appears that Schiff subpoenaed cell providers for call logs of Nunes, Trump attorneys, etc.

With those documents, which gov't agencies did Schiff subpoena to obtain more information?

[Likely answer: the agencies that collect these records]

And what did they give Schiff? 🤔 https://t.co/OcrlU9zHp4",0
"I salute leaders, governments, social movements and intellectuals of the world for their statements, demonstrations of solidarity and support to the Constitution, democracy and the Bolivarian Government that I chair. The people of Venezuela thanks you! https://t.co/IETY1m8xXY",0
This morning I declared a State of Emergency to give us the flexibility and powers we need to support our County and State partners to properly address the threat of infection and harm. #COVID19,0
"@RealHughJackman @iamjohnoliver @VancityReynolds @SethMacFarlane @howiemandel @SimonCowell @Sethrogen ...friendly manner. I was like, WTHeck!? My friend, Derrick says, ""He's from California. He's probably just happy that you didn't shoot him"". Never forgot that.",0
know how many mast will be installed for 5G to effectively cover an area?? rate of exposure hasn’t been determined yet. 15yrs later everybody be battling cancer or some dna deformities. Non industry/Government funded scientist have said they haven’t tested effect yet on human,1
"#BreakingNews: Yesterday night doctor &amp; #truther - @Thomas_Binder  - was arrested by the police in Baden, Switzerland - due to his important research on #5G and the #coronavirus ! Welcome to the fourth Reich ? #Bundesrat: what do you have to hide ? Could it be the truth ? #Truth https://t.co/u1ZXxOxeAS",1
"Ok so 5g has not caused corona virus, but y’all don’t think it could cause something else? So narrow that shit is clearly bad for us ELECTROMAGNETIC RADIATION just because is ain’t killing us now don’t mean it won’t. If I’m wrong correct me but I’ve a right to be Cautious",1
"“Despite having 5G technology, people in China have maintained a tradition of consuming bushmeat, ranging from camels to bats...not only must the virus be killed but the practice of consuming bushmeat must also be stopped.” https://t.co/qnUEyBTmBo",0
"BREAKING: The Electoral Commission has recommended local elections in May should be postponed because of the #coronavirus.

@SamCoatesSky hast the latest.

Get the latest here: https://t.co/8kLuSXDeoy https://t.co/SdDypPavT5",0
@Worried_Canuck @RebelNewsOnline Not 100% sure but I think the CIA quantum computer/satellites are called Snow White. Corona maybe their electric magnetic field 5G radiation tech. Not really sure though. Keep in mind that the real tech is way more superior than what is revealed to public. https://t.co/idwYe3vELV,1
"This tech firm used AI &amp; machine learning to predict Coronavirus outbreak; warned people about danger zones - The Economic Times
#caronavirus #china #AI #5G #MachineLearning  #disruptive #HealthTech  https://t.co/fDhxnz7XUO",0
"The more chicanery China engages in, the more it feels the #WuhanCoronaVirus is tailored to its political purposes. You could almost believe the virus was engineered... https://t.co/vGB8Qx4rIJ",1
"The incubation period of 2019-nCoV infections among travellers from Wuhan, China from the super-high-quality RIVM group of Jacco Wallinga https://t.co/bu2lZmh5qx",0
"Hmmm... 🤔
Coronavirus: Detention, the Demise of Freedom, the Perils of 5G &amp; Personal Protection https://t.co/UUbROUTRFm 
#TuesdayThoughts #CoronaVirusUpdate",1
"Up to 16 million people are about to be locked down by Italy’s Gov’t. The cities of Milan, Venice,Parma &amp; Modena will be quarantined in Lombardy &amp; 11 provinces worst hit by virus. Until now 50,000 people had been quarantined 
Those who break the lockdown face three months in jail",0
"Connecting dots..🤔
Pivotal Commware, one of several metamaterials startups backed by Microsoft co-founder #BillGates, says it has secured $10 million in convertible-debt financing to help it roll out signal repeater systems for #5G wireless data services.
https://t.co/kVwOux4H9u",1
So are y’all smarter than countless scientists and doctors around the world who warned us of the risk of 5g yrs ago? 🤔🤔 https://t.co/HUw3aWfTaM,1
"Where science is in doubt, faith talks. 
When faith is silent,  science speaks. 

Where science stops, faith leads. 

As far as 5G and corona is concerned, Science is still in charge. 

Two captains can't command a single ship. 

This is my mental and spiritual disposition.",1
The DDG of the PRC’s MFA’s Information Dept blocked me! I wonder what I did to offend him? Who else has he blocked? https://t.co/r29zTWuFOp,0
"Just rec'd a video from someone in Beijing. She says people in #Wuhan r locking down the infected people within their homes, so that they can't escape out in the open, in a bid to stop the spread of #coronarvirues . The infected families r being left to starve &amp; die. Horrific 😢 https://t.co/shsIV9ICcP",1
"Today, @GovBillLee and I watched the spirits of Cookeville be uplifted by @realDonaldTrump’s visit. Thank you for caring so deeply for the people of Tennessee. https://t.co/lddVZfrBFN",0
"How long will he last? MSM star @EamonnHolmes states that the MSM should not immediately smear and discredit ideas when they don't know if they are true or not. The rest of the MSM then immediately attacks, smears and discredits Eamonn Holmes.  https://t.co/xSCj260Tpl",1
"FCC Approves SpaceX to Launch Up to 1 Million Small Antennas to Blast 5G at Earth Despite Dire Warnings

https://t.co/TJEgA7LWDe

#wireless #technology #tech #5G #5GTOWERS #Space  #Starlink #ElonMusk #SwitchItOff #Health #safety #SafetyFirst #China",1
"According to Adeboye, children are the heritage of God and he hears their prayers all over the world.

https://t.co/lDHZbnn90n https://t.co/ttdkOUKbDL",1
"There are several measures that you can adopt to protect yourself from getting #coronavirus 

One of them is to frequently clean your hands by using an alcohol-based hand rub or wash your hands with soap and water 🧼 🙌

#COVID19 https://t.co/8PJyKvpzBg",0
"Probably the single most important headline this week:

- After just one week from the outbreak, Northern Italy is already considering expanding its hospital beds capacity because 1 in 11 patients goes in ICU",0
"Still haven't seen one confirmed Covid19 ""caused"" death, of an unvaccinated individual. 
My guess is there is not one.",1
"“我的事都是小事，但照样能压死人”
“When can healthy people in rural Hubei go to work? My story is simple. I just want to earn a salary, so that I can save money to buy a flat &amp; eat out at weekends. All my things are small things but they can crush you too. Stay home = no income”. https://t.co/PGYLApGjXR",0
I think the PM has made the wrong decision on Huawei. 5G must be secure and regarded as critical national infrastructure. The PM is gambling the economic benefits will outweigh the national security risks. Only time will tell if that is the right call but doesn't feel like it now,0
"My daugter recorded this just now. She is on the cruise ship that’s stuck in Long Beach... They aren’t saying if anyone has COVID19, but they won’t let anyone off... https://t.co/zgEho8VWtc",0
"As cases in Washington state soar, virologists are working around the clock to diagnose cases, reveal routes of transmission and test treatments. https://t.co/w4wl0wx3Ho",0
The very same establishment who sold us out to Brussels were also selling us out to Beijing. These people hate our country. https://t.co/LUqRfnlxaM,1
The risk of an ongoing outbreak of #COVID19 remains low. Don’t worry about stocking up on groceries and supplies any more than you normally would. Practising good hand hygiene and cough and sneeze etiquette is the best way to protect yourself and your family. https://t.co/CwRHE0uaYb,0
There’s the Corona virus and then there’s 5g radiation poisoning. Two things with similar effects. Stay woke and safe people. Remember end game? Small sacrifices for the “greater good”. Educate yourself and don’t just listen to what you’re told,1
"This is your daily reminder that you have millions of friends and allies in the EU.

Also, I just read @mrjamesob's book. It's quite admirable. I'd never keep that cool a head when questioning apparent numbskulls to make them see sense. That's why it's him not me in that chair. https://t.co/oLaqtToFIE",0
"the virus is the only thing we hear about on the news. is it so that other extremely important things will drown in the corona noise? why are they rolling out 5g in norway now that the virus has caused a lockdown, and why is nobody talking about it?",1
"Mr. President @realDonaldTrump and Gov @GovRonDeSantis, please consider stopping all 5G rollout and current usage of 5G (either in full or aspects of the tech), as this technology causes major damage to our immune, respiratory, and nervous systems.  #COVID19",1
"#ChineseVirus19
Have you ever thought of this?

The Corona Virus travelled entire world from #Wuhan crashing the European and American Economy but it did not reached Beijing and Shanghai in China.

Is China hiding something?

Is this prearranged?",1
Tell Your Municipality to Pass an Emergency Ordinance to Stop Deployment of 5G During Quarantine • Children's Health Defense https://t.co/eoItl1FjdN,1
"UPDATE: #coronavirus #2019nCoV Severity

➡️Estimated fatality ratio for infections 1%
➡️Estimated CFR for travellers outside mainland China (mix severe &amp; milder cases) 1%-5%
➡️Estimated CFR for detected cases in Hubei (severe cases) 18%

🔰https://t.co/7A77NXZ3iw https://t.co/djcqWExR6N",0
"#COVIDー19, interesting events. #Russian cases increase.
Supposedly #Germany has handed over #Chona a damage bill; #UK has removed #Huawei from 5G list; #CCG, #CMM &amp; #PLA together are creating problems in #Vietnam's EEZ ; #Chinese have unilaterally declared 2 districts in #SCS https://t.co/MGzvd8GBAd",1
@ArcaneKnowledge Yes exactly and I find it funny that they passed a 5G law while everyone was distracted with this fake pandemic. https://t.co/cIhQTQFWFS,1
"The coronavirus has met two of three criteria for a global pandemic and containment at US borders is ""harder and harder,"" the CDC says https://t.co/6dFLRtfUyL https://t.co/ekDQ67lHCs",0
This happened while we were fooling around with 5G conspiracies and Chinese support for Covid 19 management. The oil downstream sector has been fully deregulated #NNPC #TUC ... Enjoy your N123/l now o.. https://t.co/PErfujO5ks,1
"@Apotheosis1974 @TonyBaduy @thereal_truther @ghoppe @mcfunny @SkepticalMutant @regina1775 @gypsyof7 @EmmaGPaley @tnicholsmd @prof_brunt @WendyOrent @RightWingBlack2 @djt10 @doritmi @AuntieDote @BlueLionBlog @viva__lala @toppediatrician @MilanovNina @kenjaques @nocompulsoryvac @DescribeSWC @Vbalance03 @xileenie @Joshua1_5 @GeoffSchuler @dkegel @jkellyca @rugbyrhino16 @chrisvcsefalvay @IntactCervix @ktibus @janem1276 @mmelgar09 @Just4TheCause @VeritasEver @openmitochondro @MilenarioxX @xXMilenarioXx @DavidLMayhew @DansMonkeyShack @t3tragrammat0n @fiski70 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp Another “narrative” comment...ok tasty 😋. Every pro-vaxxer literally repeats the exact same words almost like ritual chants, i’ve spoken to a plethora, it never ceases to amaze me how identically programmed people are. But sure...you are insulted by the idea of a ”narrative”.",1
"pulling kids out of school get a clue, fulerton informer has been trying to tell u microwaves on their private parts mothers been trying to boycott  the shots section 13 incert on the vaccine hasnt been tested for carcinagen mutations or impairment of fertility #wedonotconsent",1
"President so you locked down the whole country so that you can take away our rights. Did you even tell the country the true meaning of this lock down, coz I know that corona has nothing to do with this.Ramaphosa how many black people are going to die from the 5g radiation? SELOUT",1
"@andref1989 I’ll be honest, I spent some of this week reading the literature just to be able to have arguments about 5G and I felt I came up quite short. Obviously the coronavirus link is bonkers but would you really have signed off on the rollout at this time?",1
The CDC testifies today on the Hill that people don’t panic when they’re given correct information in a straightforward and quick manner.  #Coronavirus,0
"FIVE page special tomorrow: CHINA IN THE DOCK
😷 Glen Owen on startling Cobra briefing about Wuhan lab 
😷 @MrHarryCole on Beijing's £351bn compensation bill 
😷 @mrevgenylebedev on communist regimes 
😷 @TomTugendhat on what next
😷 @ianbirrell on China's toxic lackey: the WHO https://t.co/WF3vDYR4pk",1
"Please consider #5G and it’s impact on #HumanHealth It Kills Us it was rolled out in #Wuhan #Iran #PersianGulfStates #PrincessCruiseShips Big Telecom
Is determined to roll it out everywhere #Ban5G https://t.co/0SfbEb6tZm",1
"The UK is considering using Huawei’s 5G despite US warnings. Coronavirus death toll rises to 17 in China, traders are cutting exposure to stocks due to fear the health crisis will spread, miners which rely on demand from China continue to endure losses. Mnuchin concerns over Iran",0
"The Corona Hoax...

They dying to install that new 5G technology they got planned...
They can't wait! 

So tell me fuckers what exactly got you going through all this trouble for if we are so inferior???

I mean...
You say it's to control the population...",1
"Angela Rye asks Elizabeth Warren to say first thing that comes to mind when she hears -- 

Mike Pence: ""Oh, no.""

Vote: ""Yes""

Mitch McConnell: ""No.""

Felicity Huffman: ""Oh, shame.""",0
"@VincentCrypt46 This pisses me off to no end! They already tried this with me last year. I assumed it was LYME since I was under treatment for it. Weird thing, I never got bit where the burn was. That was radiation!

https://t.co/kKOENzCPwT",1
"I'm just gonna say it.

COVID is very serious, but we have had outbreaks (SARS etc) with similar symptoms and death rates, and world leaders have never resorted to shutting down the world and the economy.

I think there is something about this virus that we are not being told.",1
Major fast-food chains and retailers in China are shutting their doors as the deadly coronavirus continues to spread. Here's a list of closures. https://t.co/JvRHQVa5es,0
"@tobigtocarry @KnowledgableNic Every one hundred years huge epidemics, from what I've hear sumbolistically 20 is a metal number or something like that I have to look into what that all means",1
"California has a second untraceable case. Santa Clara County, seperated by 90 miles from the case in Solano County that was revealed on Wednesday. Alongside the world, the United States is entering an epidemic. It’s not coming. It’s here. https://t.co/noOdMK7yxB",0
"@rvkhayaxo @ferri_berri @guerillabIack This really isnt even false info, I believe that 5G is hurting us, but its not linked to coronavirus like some say. But ever since they put those shit towers above the schools in chicago, everyone has been having migraines/headaches and not feeling well... and its not tge weather",1
"Sec. Azar estimates that the U.S. needs about 300M face masks to slow the spread of the coronavirus, and said officials only have about a 10th of that amount. https://t.co/9vfPGmJDwc",0
WATCH LISTEN LEARN! Fauci days in Jan 2020 Coronavirus is NOTHING TO WORRY ABOUT! Don’t listen to him say any different now! Video proof! https://t.co/m15qzDE98z,1
"@austin_VMX @EuginhoCortez What’s your answer to this then?

Why did the government issue a total lockdown of Lagos and Abuja, even tho the virus was in other states too? https://t.co/uPK0ONeYOT",1
"5G is a weapon to kill. COVID-19, Economic collapse... Real or by design?
@KateShemirani talks with @steele_mark 

Depopulation is Genocide
https://t.co/rY4OpJBZzl",1
"Reuters:  THAILAND FOREIGN TOURIST ARRIVALS IN FEBRUARY FALL 44.3% YR/YR, CHINESE TOURISTS DROP 85.3% - TOURISM AUTHORITY",0
The weird glow in the sky is caused by the waves emitting from the Centre City communication tower. #centrecity2 https://t.co/FGHhJAjmUG,1
"5g didn't cause  #COVID19 , 5g is an entirely different beast. The message about 5g is that the frequencies that it uses is not compatible with our own frequencies, it's too strong for us. Long term, it is not good for our health. Don't get the message fucked up folks",1
"If you just look across the supply chain, there is so much risk right now. So much of China is overly extended in debt, from local governments to state owned enterprises — and the central bank is now printing money while the economy has halted. https://t.co/ezYLNvqRvA",0
👏🏻👏🏻👏🏻 ⁦@BorisJohnson⁩ - sensibility against the overall plan...... HUGE: The UK Just Dumped China's Huawei in 5G Tech Roll-Out — Citing its Lies Over Coronavirus. | News and Politics https://t.co/sbLMEqrT0k,1
"Chemtrails are hitting  judges and law enforcement for explanation.
Operation Popeye .
#WeatherWars , deemed the greatest weapon ever invented 
Nieve Senators HARP on 5G as 
unstable environment warfare know as #Agenda21
Test socialized population control via #coronavirus 
#NASA https://t.co/zjpwZ9LtGS",1
"The Monday PDS is Live!  

We talk 5G coronavirus conspiracy theories being pushed by celebs, this weird Ezra Miller situation, Corona Karen &amp; more

https://t.co/lNYBWQpvw6 https://t.co/c7mV57MyXh",1
"Where are the multiple camera crews from the UK? They venture into a war zones but today's BBC news taking precedent?
Trump's Mid East plan
Huawei 5G &amp; USA
Wales smacking ban
Nicholas Parsons
Coronavirus
Jamaica Earthquake
NOTHING EUROPEAN &amp; DEFINITELY NO FRANCE

@c4news @BBCNews https://t.co/CZ6zKy7t9R",0
"I can't speak for everyone. 
But my throat and lungs feel like I have been
 in a attic of insulation for a week. It's due to all the fibers being sprayed constantly 
here in the state of Georgia and throughout the whole Southeast!
 Do you have a sore throat or scratchy throat?",1
"Is #5G going to be worth the hype?

#5G is touted as a game changer! Tech experts say its performance benefits &amp; industry use cases will be unparalleled. But Business Owners are still in doubt!

Via @5GAmericas @Vecto_Mobile @GersonRolim

https://t.co/gS6o1IDJ1d

#DX #IoT #4IR",0
