text,labels
...most of the people going in and out were actually Hong Kong residents. Then why should we close down the border to make entry and exit impossible for our own residents? In fact many Hong Kong people are still on the mainland or in other parts of the world...,0
Coronavirus is caused by 5G – Keri Hilson says and claims that’s why it’s not affecting ‘Africa like that’ https://t.co/GMk5pR1ijx https://t.co/I2Tnfwb7cE,1
"@DrEricDing @WHO @CBCNews @PnPCBC As a Canadian trained primary care and public health physician, I completely agree with your thoughts and approach. Thank you for your endeavors. Unfortunately our health minister, unlike our incredible previous one, has no training in public health.",0
"CARNIVAL: we are ""currently unable to determine the full financial impact on its fiscal year 2020. However, while not currently planned, if the company had to suspend all of its operations in Asia through the end of April, this would impact"" FY2020 by 55-65c/share "" $CCL",0
"From ⁦@Telegraph⁩. Perhaps @SecPompeo can explain to ⁦@BorisJohnson⁩ that once U.K. 5G is infected by Huawei it will have to be quarantined from “Five Eyes.” As ⁦@robertcobrien⁩ said on show this AM, “old school.” https://t.co/9yQhW0j1VA https://t.co/1d4eq11egC",0
"PLEASE SHARE ‼️
Majority of Covid-19 Victim Numbers are A LIE 😤😤😤😤 This 5g News maybe true. https://t.co/yMByW9pTQv",1
Long hard week of convincing people corona virus is 5G think al let me hair down n have some bottles the night,1
people thinking 5g causing cancer/corona when it’s a non-ionising electromagnetic waveform https://t.co/oVGIrvnnQU,1
"@LondonLass9 @BeachMilk Lombardia has the highest cases of #coronavirus, Milan has the most prevalent 5G. Italy, Spain and Germany all rolled out 5G in summer 2019. Wuhan launched 5G across the city in October 2019. Is there a link?
#5G 
#Coronavirustruth 
#COVID19 
#ChinaVirus 
#ChinaLiedPeopleDied https://t.co/pCHzUWR7dz",1
"@DHSgov @FBI “Many #RussiaExperts worry Putin is intent upon securing major concessions from Trump, i.e. relief from tough economic #sanctions that the U.S. and its allies have imposed on Russia since its 2014 #Crimea invasion and 2016 #ElectionMeddling”

#PutinsPuppet
https://t.co/g18bo5WQDj",0
"Newly appointed Communications and Multimedia Minister Dato’ Saifuddin Abdullah told BFM News, he will continue to uphold freedom of speech, amid concerns about media freedom following the change in government. https://t.co/zzfJ76FL6s",0
"@RealHughJackman @iamjohnoliver @VancityReynolds @SethMacFarlane @howiemandel @SimonCowell Knock, knock.
Who's there?
Simon Cowell.
Nice try, Howie. I have a video surveillance system.
Then why did you ask who was there?
No hablos ingles.",0
"Latest infected/deaths/recovered data for #NCP in the last 12 hours:
Infected: 2,156
Deaths: 81
Recovered: No Updates Provided
#coronarvirus #coronaviruschina #Wuhan 
#CoronaVirusUpdates #NovelCoronavirus #NovelCoronavirus2019 https://t.co/DLcnTIFSwE",0
I been tryna tell y'all 5G or 6G &amp; technology itself will be out ruin. I've posted correlations between #coronavirus and 5G &amp; #wuhan .... Stay tuned.... #hoodjournalist #hoodtutorials #3g… https://t.co/zuLydi8IjS,1
"@X22Report @DrTurleyTalks @InfoWarsMedia @newswarz 
@AnnCoulter, my cousin blood @SarahHuckabee @joerogan 
100% proof it's 5g not coronavirus! 
Must pass it on and organize the destruction of 5g immediately. Potus pardons all that step up to that task.  https://t.co/VRwsKk4Ndf",1
@HuaweiFacts @DrZweliMkhize There is a audio clip making rounds on social media about 5G technology being responsible for deaths and this thing of Corona virus is a big cover up. What are facts?,1
so wats this info about 5G and #COVID19 virus? is there any IT specialist who might be willing to enlighten us? Is it true 5G is the cause of #CoronavirusPandemic or its a hoax? can anyone explain? plz RT @Gidi_Traffic @hotjist @bustopsng @NCDCgov @Omojuwa @DONJAZZY @legitngnews,1
"Kamala — You’ve spent your whole career fighting for folks who’ve been written off and left behind — and no small part of that alongside Beau. From our family: thank you.

https://t.co/ePtRKVjzXB",0
"""[AliPay's Health Code] covers three provinces – Zhejiang, Sichuan and Hainan – and the municipality of Chongqing with a total population of nearly 180 million, and will soon cover the entire country.""",0
some of these whyte conversations I’m hearing during this pandemic are fucking dumb AF. network connectivity issues ? Bitch they releasing 5G into the world making the atmosphere a small fucking microwave. They are tying to kill us!!!!!!!,1
Chinese health experts have determined that aerosol transmission is among the ways the novel #coronavirus can be spread.,0
@X22Report Dave Q said watch the water! 5G absorbs oxygen and messes withe the water in our bodies. Like covid 19! Oxygen! Water! CONTACT Robert David Steele ASAP. He can explain better than me.,1
"Thousands of sparrows blocking the way at a village at Sanmiaoqian town in Shangrao City, #Jiangxi Province in #China. Many weird things are happening.  Can anybody explain?
據說這是江西上饶鄱阳三庙前乡一村莊路口，幾萬只麻雀攔路不讓通過。今年的烏鴉、麻雀都怎麼了？誰能解釋下？ https://t.co/1kldtUsoDb",0
"I’m concerned about cell phones. #COVID19 #coronavirus can live on surfaces for &gt; 1 wk. We carry our phones everywhere, touch them constantly. The iPhone debuted in 2007. We’ve never had a pandemic w/ a device in everyone’s pocket. This is especially critical for HCW to remember.",0
"BREAKING: Classes on all Fordham’s New York-area campuses have been suspended effective 1 p.m. today, according to an email from Father Joseph McShane, S.J., president of the university.",0
The Chinese govt is attributing deaths resulting from the 5G rollout in Wuhan to a non lethal virus. I am pretty sure that is what's going on.,1
"Today, @GovBillLee and I watched the spirits of Cookeville be uplifted by @realDonaldTrump’s visit. Thank you for caring so deeply for the people of Tennessee. https://t.co/lddVZfrBFN",0
Yesterday marked the 2nd time in just 17 days that @realDonaldTrump welcomed home a freed American - an achievement that ALL Americans can come together &amp; celebrate. 🇺🇸,0
"The origins of coronavirus: the pangolin, 5G or simply that our world had reached a point of saturation and we needed a new begging in order to resize the real values and give the opportunity to new conquests? After 3 months the enigma rests unresolved .... #COVID19",1
"The continued spread of the new coronavirus, COVID-19, has the world on notice. Congress’s task is to make sure that the administration and our dedicated medical professionals have what they need to continue preparing in ways that are calm, smart, and effective. https://t.co/lYw94CNSMa",0
"#Kharkiv,#Ukraine November 26,there was a protest action,about 50 #Nazis Brought car tires and threw flares into the building of the Consulate of the #Russian Federation,one of the flares hit a tree &amp; a fire started,the Nazi,s shouted death to #Russia,DNR-news. https://t.co/EVvm0BkMZ1",0
"""When my wife and I need to go shopping, we're going late at night when there are no crowds, and we get in and out efficiently... She enjoys bridge and it's an important part of her life and it keeps her mentally active, but she's going to give it up for a while""",0
"Pay Attention! Look outside your bubble!
World 🌍 Updates Live And More Links in Description / Coronavirus And 5G ... https://t.co/4Uzhwdm4nJ via @YouTube",1
"MediaTek has started ramping up its 5G chip shipments, driving up its revenues for the first two months of 2020 by 25.11% on year to reach NT$30.43 billion (US$1.01 billion), with the sales performance much better than expected despite the coronavirus",0
"Did the 5G rollout in Wuhan damage the innate cellular defense cells of the population, putting the people at risk of complications and death from coronavirus? https://t.co/pTrQPnc9YA",1
"If you just look across the supply chain, there is so much risk right now. So much of China is overly extended in debt, from local governments to state owned enterprises — and the central bank is now printing money while the economy has halted. https://t.co/ezYLNvqRvA",0
Find someone who commits to you unconditionally the way a willful ignoramus latches onto a conspiracy theory about the coronavirus and 5G technology.,0
"5G is not safe, we don’t need it. Our internet is already fast enough!! This is an untested technology but independent researchers have said it is very dangerous. Stop it while we can! Stop using corona as a smokescreen @BorisJohnson @SadiqKhan @10DowningStreet",1
Last tweet of the night is have you seen or met anyone with the coronavirus yet? Why is the virus happening after 5G was announced? Can i trust everything i hear from mainstream media? When we getting that apocalypse soon? Do i need a vaccine? Think about it,1
"We're concerned that in some countries the level of political commitment &amp; the actions that demonstrate that commitment don't match the level of the threat we all face. This is
NOT a drill
NOT the time to give up
NOT a time for excuses
This is a time for pulling out all the stops",0
"Less than 48 hours it’s gone...
See my pinned tweet for 1 hour of the video, the video was 1 hour 50 mins but I Didn’t record the last 50 mins https://t.co/fTqXEr0ocx https://t.co/JuNwlSpk8d",1
THREAD: In U.S. we face two alternative but hard outlooks with #COVID19: that we follow a path similar to South Korea or one closer to Italy. We probably lost chance to have an outcome like South Korea. We must do everything to avert the tragic suffering being borne by Italy 1/10,0
"Therese Poletti's Tech Tales: The 5G rollout is already behind, and coronavirus could slow it even more https://t.co/x2ahcT6kwn https://t.co/YdyxID4Zhm",0
"Surely everything is “real” this time when #XiJinping visits #Wuhan during #COVID2019, except that the hospital he goes is Wuhan Workers Sanatorium near #Huoshenshan Hospital, not the real Huoshenshan, although both the TV news and the sign behind him say it is Huoshenshan. https://t.co/ttZrLEAnHJ",1
@knickscenario @Woodshed_1914 @Freekeith @Byrons360 @IanChisolm @0oty_Mac @Rick__War @Chuck1one @SquareBidness @BunchRegal @stateofthenewy1 @eepdllc @Michael59413281 @DonaldP47082631 @rahmmagick @knickanator @YankeesKnicks99 @simonbalac @mikenieve @TruePG718 @AJTheManChild @2ForgetUs @TheKOTShow @11Jayt @Marxman35 @BigFreezie @JerrelXL @PreZnyc621 @net_steven @Golfballl @LooseJointny @eski225 @RobertSParis1 @NYK247_4EVER @SpyrosVelentzas @TMal761 @MacksJulien @forevershinin @shamiek7 @stalling_e @Ant4418 @geola388 @p_diazNY @GUY_BM370 @jtbwood @Jaelin_Taylor @FahimInsurance @ed_tsunoda @BrettJKoppel @Nykterryandtray We’re talking about a 21 yr old that was a project. I know folks are impatient but JESUS!  Folks already done with Knox and some lookin sideways at RJ!  🤦🏽‍♂️,0
"#Wuhan is home to China’s first #5G-based_smart_production line. The facility, opened by China Information Com Technology , reportedly improves productivity by 30%t using automation and 5G networks, using robotic arms to assemble and transmitting its operating status in real-time",0
The Washington case is a high school student that had little contact with other students this week. The Oregon case is an elementary school employee that “does not typically come into contact with students” https://t.co/SoPc6tpvR4,0
"@PremiumTimesng All of u shouting ""Baseless Conspiracy"". I pity you. Africans, nd Nigerians hav alwz been on the waiting End of Consumption. We're Never proActive until the unForseen gets to us. Those who created the Covid-19 Digital vaccine nd the 5G network hav a Mission.",1
"A Japanese govt official, responsible for arranging charter flights to bring stranded nationals from #Wuhan, committed suicide on Saturday morning, says @Sankei_news. Three evacuees from those flights were later tested positive for novel #WuhanCoronavirus. https://t.co/R1ZYbqfJkU",0
"""Coronavirus or Chemtrails from Dajjal with 5G technology""? I'm not sure, posting for your attention, read this article:

https://t.co/dgc8FDZtU8",0
"EXCLUSIVE

Nadine Dorries, a health minister, has become first MP to be diagnosed with coronavirus

She has been in Westminster for past week, met hundreds of people, and attended a No 10 reception hosted by Boris Johnson on Thursday

https://t.co/3seuE2NGYE",0
"Wuhan, the city at the epicenter of the coronavirus outbreak, has closed one of 16 pop-up hospitals it rapidly constructed to combat the virus, as the number of new cases there has dropped https://t.co/gWPNuolcnz https://t.co/LBJn575w0c",0
"ZTE has canceled its MWC press conference due to Coronavirus logistical issues. I’m sure there will be others that will cancel, too https://t.co/n3TkdrqXzo",0
"Who remembers the research/articles saying how dangerous 5G is and how it attacks the respiratory system and immune system ............

Ladies and gentlemen say hello to 5G aka coronavirus",1
Like this tweet if you thing #coronavirus is a cover-up to keep people at home from being exposed to the radiation caused by #5G which is actually causing the health problems #staywoke 🧐🤔,1
"@peytondewitt12 It’s not about getting treatment. ITS THE FACT THAT THE NUMBERS DONT ADD UP, covid-19 has been around for years;the common cold flu virus but suddenly the oxygen is a main target for the virus? Sounds bioengineered. 5G is leading the way, there will be more people getting “sick”.",1
THIS TOWER CLIMBER TALKED MONTHS AGO ABOUT HOW 5G IS NOT GOOD. ITS ONE OF THE LEADING CAUSES OF CORONAVIRUS https://t.co/UbAI8rQc6g,1
5g radiation towers are gonna cause cancer and other diseases. W the Same symptoms of the corona virus.,1
"#Stop5G #5GKILLS coronavirus or 5g poisoning???  Blast these executives who allowed that shit to be used and stop them! The #NWO is at play guys, #WakeUp this country stopped being ""for the people, by the people""  centuries ago and we need to take back what's ours. #coronavirus",1
@jarue369 Wuhan tested 5G and the side effects are flu symptoms. All citizens have mandatory vaccinations and some vaccinations are known to open up the DNA structure. Hence transhumanism.  The UN has not labeled this a pandemic like the SARS virus. Wierd. We dont see this in the media.,1
"Scientists r talking about how bad &amp; 2 strong a frequency the 5G is and this is what’s killing people. It’s no Covid19. @JustinTrudeau is this really what world leaders are doing? This 5G is detrimental to citizens, your allowing this? #5GCoronavirus #5GTOWERS #5GKILLS @CityNews",1
you are ONLY allowed to leave your home if you need ESSENTIAL food and prescriptions .... and if you are installing 5g towers @ schools while no one is there to see or protest. https://t.co/SqoSVS8Yxu,1
Israeli researchers at the Galilee Research Institute  are close to developing a coronavirus vaccine that could be ready in three weeks.@Praecursator007 https://t.co/w299RfDe5Z,0
"@RealHughJackman @iamjohnoliver @VancityReynolds @SethMacFarlane @howiemandel @SimonCowell @Sethrogen @CrippleThreat8 @PreacherLawson @TheDrewLynch @TaylorComedy @neiltyson Maybe the CopyrightWankers! (USUK) are shutting down Twitter. Too many free things going on. Like, speech.",0
"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO The Emergency Committee on the new #coronavirus (2019-nCoV) meets today to ascertain whether the outbreak constitutes a public health emergency of international concern, and what recommendations should be made to manage it https://t.co/Qtsxqkr7xi https://t.co/aC8NYUkS9h",0
"President @realDonaldTrump traveled to Tennessee to survey damage from the recent tornado and meet with families.  

We are with you, Tennessee! https://t.co/6tlusINREm",0
"5G Is The “Stupidest Idea In The History of The World”
- Martin Paul, PhD
What does it have to do with COVID-19? 
nnEMF has major effects on all living oragnisms - including our immune systems and the microbes within us. 
https://t.co/MgeBiuEppc https://t.co/OuocC0u2gj",1
@Austenslaps I've been looking for any post or video from a survivor and not found anything yet. Mighty odd. Hope someone can prove me wrong. Coronavirus = 5G radiation sickness,1
I told myself I wasn't gonna post about this virus shit... But the ignorance amongst you fear filled sheep is sickening. You can not obtain other species tissue unless by injection. A virus cannot be caught. A virus is specific-cell created inside a body for cleansing.,1
"Flashback: There is no one in the White House tasked specifically to oversee a coordinated government-wide response in the event of a pandemic, since the post of senior director for global health security and biothreats on the NSC was eliminated last May. https://t.co/kOQK8XVI9j",0
"In case anyone thinks I'm over-stating risks of flying people out of the *locked down for a reason* #Wuhan region in China to different countries..
Tray tables on commercial flights have been shown to have 10x more viable bacteria than toilet flush buttons
https://t.co/Pe4Qssa5JL",0
Mobile World Congress Barcelona is cancelled because of #coronavirus. Exhibitors were cancelling daily in the past week. 100k people typically attend. #MWC20 #5G #wireless,0
"Mitchell Robinson blocked another 3 tonight. The Knicks center on his strategy on 3s:
""I just go. There's nothing to it.They got a good little gap. They think they're gonna just shoot their regular jump shot &amp; you got a guy that can just jump out the gym.""
https://t.co/ZgXmHM9BzJ https://t.co/p3NPLxjDxj",0
Kudlow @larry_kudlow &amp; @realDonaldTrump say the coronavirus is contained &amp; @CDCgov tells the country to get prepared in the same day. #MAGA #QAnon #WWG1WGA do you realize that Trump just stated he doesn't give a fuck about you? #COVIDー19 #Trump #GOPBetrayedAmerica #GOP #Resist,0
"Chinese 5G DS kill us

Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-up Global Outbreak of 5G Syndrome! https://t.co/EIdMF7jJCC",1
"Wuhan was 1st city to roll out full 5G
Experts initially said Covid19 was no big deal
Now they're saying 5G is safe
Do you trust experts anymore?
https://t.co/1SXngdiwfW",1
Don’t stand too close to each other! Our office has quadranted off the elevator... and one bureau dog has quickly learned how to follow the new rules cc @YuanfenYang https://t.co/vq5khi5PdY,0
"The locakdown of Wuhan, the epicenter of coronavirus outbreak and China's production hub for optical communications components, may dent the construction of 5G base stations in the country,",0
@clif_high According to Dr. Coldwell it is absolutely not a new flu virus going on. We will not get ill from it he says. But definately 5G would have been the big killer in Wuhan. But we’d been given the idea it is a virus that kills...,1
"@MaryamHenein @DustinNemos and JUST BEFORE ""5G"" was switched on.
In Wuhan.

All ""outbreak"" cities, worldwide? They're 5G as well.

Interesting timing, placement.",1
"43:27 - but the whole video really, Brilliant.
Dark Journalist And Dr. Nick Begich COVID-19 5G DARPA AI Surveillance St... https://t.co/9Q1Koi7FQi - #wakeup #BobMarley #standup #peace #paz #health #healthy #kindness",1
"whatever you do, do not look up a random anti-vaxx Facebook group to see what they believe about coronavirus. Do not do it do not donttt do not see the wordssss",0
"@StateDept @USTreasury @CIA @DHSgov @SenatorCardin @ODNIgov @FBI @NSAGov @DefenseIntel @NGA_GEOINT @Billbrowder @danielfried @CFR_org @CarnegieEndow @Harvard @BelferCenter @MorganStanley @GoldmanSachs “#Deripaska paid #Waldman via a series of offshore firms, w/cash routed via shell co…At least one #OVD’s co, Sea #Chaika Corp, appears in #PanamaPapers. In 2010 it transferred at least $85k to Waldman’s accounts. Sea Chaika is connected to anon firms registered in #Cyprus”",0
During this #pandemic: the U.S. rolled out #5g nationwide without informing citizens; the #CDC lost a lawsuit and had to admit they have no science behind their “vaccines don’t cause autism” statement; and Lib state representatives backdoored va((ine #mandate laws. #PayAttention,1
"Huge Country Russia , is very cold and did not ROLL out 5G to the public , exclusive news by ,military, RUSSIA HAVE NO FATALITIES OF CORONA!",1
Imagine coronavirus being one of the side effects of 5G 🤔,1
@iamcardib How do you feel about these 5G towers being built unknowingly while we just so happen to be in quarantine?,1
"@AlexWan86777954 I have visited China twice. I have not visited Wuhan. The cuisine, and the culture of the people, in every different city, are all different. It's a wonderful place to visit.",0
"As China continues to battle an outbreak of the deadly novel #coronavirus, some of the cutting-edge technologies from artificial intelligence (#AI) and #5G came in handy in the nationwide fight to contain the virus-caused crisis. https://t.co/jPULG0JUG7",0
@realDonaldTrump all this is because the 5G was going to destroy your economy. What a peculiar thing that this COvid start in a Town where the people was ready to use it. Fuck you Donald. Fuck your presidence and the people with you behind all this. You just want more power.,1
Some say 5G can produce flu-like symptoms. 5G went live in Wuhan on Nov 1 2019. Did people go to the doctor as a result of 5G manipulation and get flu shots tainted with Coronavirus we see today?  Hard to say.,1
"Facebook just suggested this video:

nick land was covid-19 patient 0 and the 5g towers exacerbated it?

It's a video of a young woman dancing along to Charles Manson  

https://t.co/u24nT4LLGP https://t.co/sQ17EhaMmr",1
"Confirmed: Internet disruption registered across #Iran from ~4 a.m. local time; multiple fixed-line and cellular networks unreachable internationally for an hour 📉
📰https://t.co/mxTUJUpkat https://t.co/7ZsdxNJUhp",0
Ok apparently there are people out there who actually believe COVID-19 is caused by 5G cellular networks,0
Video of a nurse worked for 11 consecutive days kissing her fiancé through the glass goes viral on Chinese social media. Their plan of marrying on Valentine's day was disrupted as the bride-to-be is fighting in the frontline against #coronavirus. Salute to the medical staff! https://t.co/oDmdDFtsoo,0
"Whilst all the news about Covid-19 rages on, I'm seeing some worrying videos about 5G masts going up and birds dying. #ConspiracyTheory",1
"“The old KFC is gonna be a Popeyes. THE OLD KFC IS GONNA BE A POPEYES,” I said, breathless as a kid on Christmas morning. https://t.co/l3EYHV3T2a",0
1918 Spanish flu. 1968 Hong Kong flu  2020 Coronavirus all coverups for technology??? Frequency...”Era of control”..vaccines with trafficking device..&amp; digital currency amazon/google taking over. 5G towers @POTUS,1
"Conspiracy Theory time👀

1300 CEO’s resign in the past year🤔

Is it a coincidence that as soon as 5G starts launching the Corona Virus breaks out?

Is this our bodies reaction to the new radiation from the 5G &amp; it’s covered up as the “corona”?

I’m tired lol what do y’all think https://t.co/tcYola4X8h",1
"Corona Virus - Biggest Deception On The Whole World EndGame Plan - 5G Agenda (5G Vodafone Whistleblower) @hopeseekr ⁦@VGKnightinArmor⁩ longer interview, it’s worse, a virus IS being spread via the testing...allegedly https://t.co/OE5wNlJhO2",1
"Here is an in depth article based on 18 months of research ""Linking"" Wuhan #Covid_19 Virus to roll out of #5G FYI You be the judge &gt;&gt; https://t.co/JKwMHEYLAw",1
"I just updated Canadians on the novel #coronavirus. Today, Ontario indicated that they have identified a second case. Both patients are isolated and are in care. The risk to Canadians remains low. https://t.co/i4l5lKrdrB",0
"China has started preliminary research on a space program scheduled for 2030 to search for potentially habitable planets outside our solar system by sending spacecraft carrying telescopes and other cutting-edge detectors, a key figure in the nation’s space industry said on Thur. https://t.co/ENYGVFvII9",0
"A ""small group"" of Britons who did not make it onto the first evacuation flight from China's #coronavirus epicentre are returning to the UK https://t.co/2CgQ7LO4Bc",0
"☠️☠️☠️#Wuhan ... that's a small town in #China, where Deadly #5G was rolled out. 
Now it's the centre for #coronavirus ???
Bet there's a correlation with 5G there and the virus ....
MAN MADE #virus too.",1
"Well... 5G isnt the cause of corona virus... but tho the radiation that the 6G towers brings could kill, ... corona virus is manufactured... my opinion.",1
@BethMooreLPM if u want help with corona my advice would be to turn of 5G networks the masts and the phones are radioactive causing illness to spread wuhan turned of 5G corona arrested c my point,1
Good use of tech to get around some of the travel challenges of COVID-19. Session on 5G in healthcare at #IoT20 where the speaker is presenting ‘down the line’ rather than being here in person! https://t.co/Q88A6UXUQm,0
How 1 epicenter became 2 in South Korea: “The funeral of the brother of the Shincheonji’s leader took place earlier this month in Cheongdo... Local media reports say the funeral was held in the building that houses the psychiatric ward.”,0
"The military and Secret Service is starting to snitch.

Is 5G technology what started the symptoms of #caronavirus?
https://t.co/dBKTQdVIjB

#COVIDー19 #5GKILLS #5GCoronavirus #TheGreatAwakeningWorldwide",1
"Nothing like CoronaVirus... 5G Installation is the caused of the death And 5G installation will kill 80,000 peoples in the world",1
@ToothAngry @BeckyJohnson222 @KitemanArgues @MsTrixter @RebelKnight50 @VeritasEver @Rosewind2007 @KarenMccartny @RogueTrader84 @emartinez78987 @bruce_barrett @LaughlandMorgan @Dietdee @JestrBob @MLAnder87321751 @Sheldon_Walker_ @TioChango_ @HelloGeorgeN @KrochetxKorner @AncientSpoonbil @Monstercoyliar @nicriopeele @runhack @AngrierThanMost @KStateTurk @ailsa_graham @Sheeple201 @LauraDekker1 @MackayIM @Siubhan_H @JaneEOpie @rnew706 @PedsID4Life @Iconoclastttt @deralteGaukler @mcfunny @SMcwoof @dfreedman7 @rnew607 @GregBla81247728 @philosopherstew @Awithonelison @LiamKav @jim_herd @GenerationVax @TiffersYUPP @CoralDoggo @JulieAMcLean @TamaseseEdwin You mean coconut-farm-manager-turned-unemployed-coconut-farm-manager-with-a-criminal-record @TamaseseEdwin?,0
"Finally - considering the DOJ position against rescission in the Florida victims' case (made on 6/24/19)... 

You have to wonder what the newly unsealed (not yet released) Epstein documents reveal. https://t.co/oLO7BGT38G",0
"When this Corona virus pass, all this conspiracy theory and fiction attached to it will become clear!!! How is the 5G network and Corona virus related???",1
"After 3 decades of service, the #B2 Spirit remains the world’s most technologically advanced strategic bomber. Stationed at @Whiteman_AFB, it has a crew of 2, which consists of a pilot &amp; a mission commander. #FlyingSince89 #B2uesday @AFGlobalStrike https://t.co/7Du7VOdLeR",0
"These theories focus on two points:

1) That Wuhan was first to roll out 5G in China. It wasn't. It was one 16 cities in China to deploy 5G around the same time.

https://t.co/vQehiU8z0T",0
